textid,anger,disgust,fear,joy,sad,surprise
1,0.116413,0.0863671,0.163017,0.290124,0.183102,0.160977
2,0.0819545,0.0484448,0.155178,0.397306,0.177047,0.14007
3,0.128312,0.0645378,0.189422,0.227276,0.233143,0.15731
4,0.115227,0.0548789,0.154894,0.314595,0.152504,0.207901
5,0.116321,0.0515662,0.14337,0.356093,0.153552,0.179099
6,0.113877,0.0619672,0.235194,0.188607,0.216238,0.184117
7,0.111057,0.0407767,0.182295,0.211758,0.196444,0.25767
8,0.108602,0.029079,0.236821,0.24344,0.22543,0.156628
9,0.0799457,0.110634,0.146458,0.247201,0.14424,0.271521
10,0.111429,0.0359849,0.223448,0.196894,0.25693,0.175314
11,0.0725537,0.0104854,0.134169,0.414709,0.147936,0.220148
12,0.132435,0.0580944,0.216661,0.262883,0.173998,0.155929
13,0.094565,0.0330932,0.147379,0.371951,0.124277,0.228735
14,0.115132,0.0429032,0.151519,0.302034,0.18776,0.200653
15,0.15339,0.0767335,0.277896,0.146557,0.221095,0.124328
16,0.129313,0.0491801,0.215312,0.320928,0.156995,0.128272
17,0.101135,0.0436093,0.180003,0.354253,0.157569,0.163431
18,0.104097,0.0518164,0.145083,0.286287,0.160587,0.252129
19,0.106671,0.0557286,0.180394,0.278705,0.160886,0.217615
20,0.0889603,0.0568946,0.160329,0.257186,0.280606,0.156024
21,0.105728,0.0451806,0.170655,0.341621,0.176648,0.160166
22,0.0730637,0.0357773,0.221677,0.314679,0.198096,0.156707
23,0.0843403,0.0252839,0.189154,0.323605,0.205111,0.172505
24,0.11706,0.040597,0.152374,0.209484,0.199693,0.280792
25,0.110611,0.0490407,0.13332,0.363294,0.14669,0.197044
26,0.0946775,0.0426212,0.189971,0.272417,0.204618,0.195695
27,0.117264,0.0616318,0.226008,0.16546,0.241062,0.188574
28,0.100598,0.0204232,0.228526,0.199303,0.258093,0.193056
29,0.115573,0.0556738,0.196331,0.332849,0.146024,0.153549
30,0.0436729,0.0205599,0.153873,0.393587,0.143847,0.244461
31,0.106225,0.053387,0.163514,0.344986,0.151111,0.180778
32,0.119707,0.0546238,0.230951,0.277394,0.178614,0.13871
33,0.104999,0.0452651,0.175145,0.284163,0.210396,0.180032
34,0.111093,0.0454483,0.197789,0.312888,0.159818,0.172963
35,0.0933351,0.031781,0.134361,0.397515,0.172916,0.170092
36,0.0911067,0.0346635,0.158573,0.406068,0.152683,0.156906
37,0.145769,0.0466626,0.240279,0.155094,0.241196,0.170999
38,0.0742404,0.0282588,0.138678,0.352255,0.143538,0.263029
39,0.116478,0.0474322,0.159132,0.342931,0.153781,0.180246
40,0.133079,0.0475803,0.251514,0.235771,0.18876,0.143295
41,0.131888,0.0566011,0.137487,0.312923,0.161571,0.19953
42,0.133096,0.0554227,0.255281,0.203238,0.194981,0.157982
43,0.114247,0.0618179,0.144805,0.320669,0.174696,0.183764
44,0.130503,0.0848217,0.171311,0.259582,0.179208,0.174574
45,0.106245,0.0374019,0.134521,0.394294,0.142635,0.184903
46,0.10455,0.038126,0.213118,0.332084,0.147094,0.165028
47,0.11755,0.0522094,0.21142,0.283401,0.185832,0.149587
48,0.114483,0.056044,0.209954,0.227519,0.237923,0.154077
49,0.12709,0.0607081,0.22398,0.193799,0.26701,0.127415
50,0.112768,0.0533185,0.207623,0.290251,0.170485,0.165554
51,0.096772,0.054524,0.173534,0.263995,0.247775,0.163401
52,0.092117,0.0280594,0.186989,0.335095,0.155274,0.202466
53,0.0584991,0.0691975,0.0822332,0.388519,0.0994774,0.302074
54,0.0770966,0.0225474,0.11587,0.393693,0.121211,0.269581
55,0.103255,0.0400871,0.152188,0.35022,0.154215,0.200034
56,0.0856729,0.0418097,0.139584,0.36344,0.183883,0.18561
57,0.116457,0.043013,0.186475,0.298218,0.180802,0.175035
58,0.104096,0.0401461,0.160657,0.374079,0.154745,0.166276
59,0.0864211,0.0455328,0.169323,0.364988,0.15542,0.178315
60,0.0996399,0.0370951,0.17558,0.305883,0.208684,0.173119
61,0.107445,0.0458676,0.191423,0.253758,0.2058,0.195705
62,0.108221,0.0551116,0.152032,0.347565,0.17467,0.162401
63,0.112208,0.0424424,0.184231,0.313146,0.19677,0.151202
64,0.11847,0.04919,0.174069,0.351313,0.116797,0.190161
65,0.116398,0.0680668,0.155316,0.181424,0.253203,0.225592
66,0.100197,0.04128,0.15881,0.273186,0.255768,0.170758
67,0.0790859,0.0546637,0.0940135,0.41861,0.156572,0.197055
